Participant.ID,Country,Weeks.At.Test,AgeMatchGroup,Clip.Index,Segment.Index,Motion.Static,Segment.Start.ms,Segment.End.ms,Segment.ms
036MR,U.S.,36,36,6,0,Unclassified,0,0,0
036VI,India,36,36,10,0,Unclassified,11290,11290,0
048RE,India,48,46.5,5,0,Unclassified,0,0,0
054AJ,India,54,53.5,3,0,Unclassified,0,0,0
054AJ,India,54,53.5,9,0,Unclassified,0,0,0
054AJ,India,54,53.5,14,0,Stationary,0,0,0
054AJ,India,54,53.5,20,0,Stationary,0,0,0
036NI,India,36,35,4,1,Stationary,42986,43052,66
046TE,U.S.,46,46.5,6,22,Unclassified,1448216,1448585,369
036MR,U.S.,36,36,7,43,Moving,2238982,2239388,406
036MR,U.S.,36,36,11,83,Moving,937062,937579,517
036MR,U.S.,36,36,8,15,Moving,167893,168436,543
036VI,India,36,36,9,30,Moving,614015,614606,591
036MR,U.S.,36,36,11,17,Moving,227920,228549,629
036MR,U.S.,36,36,8,49,Moving,523057,523702,645
053KD,U.S.,53,53.5,6,50,Moving,1570834,1571479,645
036VI,India,36,36,2,0,Unclassified,0,709,709
022JL,U.S.,22,23,14,23,Moving,502214,502961,747
036MR,U.S.,36,36,6,46,Moving,957509,958256,747
036MR,U.S.,36,36,14,25,Moving,393528,394287,759
036NI,India,36,35,2,0,Unclassified,0,777,777
036VI,India,36,36,14,0,Unclassified,0,845,845
046TE,U.S.,46,46.5,9,0,Unclassified,0,845,845
036MR,U.S.,36,36,11,19,Moving,253117,253968,851
053KD,U.S.,53,53.5,1,11,Moving,190468,191351,883
036MR,U.S.,36,36,13,43,Moving,835645,836532,887
025TA,India,25,25,16,0,Unclassified,0,911,911
036MR,U.S.,36,36,12,1,Moving,6290,7207,917
053KD,U.S.,53,53.5,3,39,Moving,660746,661670,924
057AP,U.S.,57,57.5,7,25,Moving,740777,741701,924
036VI,India,36,36,13,122,Stationary,2239580,2240531,951
022JL,U.S.,22,23,15,5,Moving,1487548,1488509,961
036MR,U.S.,36,36,2,5,Moving,108299,109260,961
036NI,India,36,35,7,0,Unclassified,0,967,967
036VI,India,36,36,5,79,Moving,2632450,2633435,985
018MT,U.S.,18,17.5,8,29,Moving,1742478,1743513,1035
053KD,U.S.,53,53.5,3,143,Moving,3783176,3784211,1035
036MR,U.S.,36,36,11,23,Moving,274022,275058,1036
036VI,India,36,36,12,88,Moving,2241565,2242605,1040
053KD,U.S.,53,53.5,4,23,Moving,1233099,1234171,1072
053KD,U.S.,53,53.5,7,126,Moving,2331851,2332923,1072
057AP,U.S.,57,57.5,7,21,Moving,600991,602063,1072
025TA,India,25,25,5,0,Unclassified,0,1086,1086
036MR,U.S.,36,36,8,29,Moving,249969,251056,1087
024DA,India,24,23,4,30,Stationary,1513160,1514261,1101
053KD,U.S.,53,53.5,2,21,Moving,575646,576755,1109
025TT,U.S.,25,25,5,0,Unclassified,0,1109,1109
053KD,U.S.,53,53.5,3,22,Stationary,291486,292595,1109
025TA,India,25,25,15,0,Unclassified,0,1116,1116
036VI,India,36,36,12,19,Stationary,746062,747183,1121
022JL,U.S.,22,23,13,5,Moving,511340,512468,1128
058LA,India,58,57.5,8,25,Stationary,1225101,1226234,1133
036VI,India,36,36,13,92,Stationary,1558475,1559613,1138
034NW,U.S.,34,35,9,5,Stationary,264935,266097,1162
036MR,U.S.,36,36,11,81,Moving,929773,930956,1183
022JL,U.S.,22,23,1,0,Unclassified,0,1197,1197
036VI,India,36,36,12,69,Stationary,2089099,2090319,1220
054AJ,India,54,53.5,33,0,Unclassified,0,1251,1251
024DA,India,24,23,4,27,Moving,1442594,1443847,1253
053KD,U.S.,53,53.5,3,61,Moving,965515,966772,1257
036MR,U.S.,36,36,8,45,Moving,445842,447100,1258
036VI,India,36,36,12,34,Moving,1016736,1018027,1291
036VI,India,36,36,9,47,Moving,1061300,1062602,1302
036VI,India,36,36,5,50,Stationary,2129771,2131085,1314
036MR,U.S.,36,36,8,17,Moving,173571,174896,1325
036MR,U.S.,36,36,8,9,Moving,89285,90610,1325
022JL,U.S.,22,23,13,15,Moving,721870,723201,1331
036MR,U.S.,36,36,4,14,Moving,161099,162430,1331
057AP,U.S.,57,57.5,7,3,Moving,208828,210159,1331
025TA,India,25,25,6,0,Unclassified,0,1347,1347
054AJ,India,54,53.5,1,0,Unclassified,0,1354,1354
036VI,India,36,36,5,44,Stationary,2045712,2047071,1359
036MR,U.S.,36,36,11,87,Moving,1023420,1024788,1368
036MR,U.S.,36,36,4,6,Moving,78256,79624,1368
036MR,U.S.,36,36,11,147,Moving,1786249,1787617,1368
036MR,U.S.,36,36,4,23,Stationary,274652,276020,1368
057AP,U.S.,57,57.5,2,8,Stationary,1119916,1121284,1368
036MR,U.S.,36,36,4,4,Moving,65157,66526,1369
036MR,U.S.,36,36,11,51,Moving,575424,576829,1405
054AJ,India,54,53.5,31,0,Unclassified,0,1412,1412
054AJ,India,54,53.5,32,0,Unclassified,0,1420,1420
054AJ,India,54,53.5,7,0,Stationary,0,1421,1421
006AP,U.S.,6,6,4,9,Moving,1010446,1011874,1428
034NW,U.S.,34,35,15,62,Stationary,2383561,2384989,1428
022JL,U.S.,22,23,6,5,Moving,742072,743501,1429
053KD,U.S.,53,53.5,6,46,Moving,1499128,1500589,1461
036MR,U.S.,36,36,11,47,Moving,523809,525288,1479
034JC,U.S.,34,34,11,0,Unclassified,0,1482,1482
036MR,U.S.,36,36,8,27,Moving,241129,242624,1495
036VI,India,36,36,12,102,Moving,2397340,2398835,1495
053KD,U.S.,53,53.5,1,55,Moving,3078530,3080025,1495
036MR,U.S.,36,36,13,15,Moving,414067,415583,1516
057AP,U.S.,57,57.5,7,13,Moving,379805,381321,1516
036VI,India,36,36,12,206,Stationary,3784650,3786171,1521
036VI,India,36,36,12,81,Moving,2166361,2167884,1523
036VI,India,36,36,5,75,Moving,2580532,2582057,1525
025TA,India,25,25,2,0,Unclassified,0,1563,1563
017MA,India,17,17.5,18,0,Unclassified,0,1565,1565
025TT,U.S.,25,25,19,0,Unclassified,0,1565,1565
006MO,India,6,6,17,0,Unclassified,0,1568,1568
057AP,U.S.,57,57.5,4,164,Moving,3727534,3729129,1595
057AP,U.S.,57,57.5,4,6,Moving,114190,115785,1595
022JL,U.S.,22,23,14,21,Moving,370770,372367,1597
036MR,U.S.,36,36,3,11,Moving,287897,289524,1627
053KD,U.S.,53,53.5,3,133,Moving,3450805,3452432,1627
053KD,U.S.,53,53.5,6,72,Moving,2900778,2902409,1631
053KD,U.S.,53,53.5,6,26,Moving,843132,844763,1631
054AJ,India,54,53.5,30,0,Unclassified,0,1634,1634
036VI,India,36,36,5,37,Moving,1987378,1989033,1655
025TA,India,25,25,14,0,Unclassified,0,1657,1657
034NW,U.S.,34,35,15,57,Moving,2362526,2364187,1661
036MR,U.S.,36,36,13,49,Moving,1122802,1124466,1664
036MR,U.S.,36,36,11,157,Moving,2003180,2004844,1664
