"Participant.ID","Country","AgeMatchGroup","Video.id","Motion.status","Start.Frame","End.Frame","Total.Points","Start.ms","End.ms"
"006AP","U.S.",6,4,"Moving",30839,30989,1017540000,924244830,928740330
"006AP","U.S.",6,4,"Stationary",34106,34256,1017540000,1022156820,1026652320
"006AP","U.S.",6,5,"Stationary",48162,48312,1017540000,1443415140,1447910640
"006AP","U.S.",6,6,"Moving",1798,1948,1017540000,53886060,58381560
"006AP","U.S.",6,10,"Moving",40999,41149,1017540000,1228740030,1233235530
"006AP","U.S.",6,10,"Moving",42018,42168,1017540000,1259279460,1263774960
"006AP","U.S.",6,10,"Stationary",49391,49540,1004018024,1480248270,1484713800
"006AP","U.S.",6,14,"Moving",8242,8392,1017540000,247012740,251508240
"006AP","U.S.",6,14,"Stationary",4046,4196,1017540000,121258620,125754120
"006AP","U.S.",6,21,"Stationary",11419,11568,1004018024,342227430,346692960
"006MO","India",6,6,"Moving",6803,6953,1017540000,203885910,208381410
"006MO","India",6,6,"Stationary",8182,8332,1017540000,245214540,249710040
"006MO","India",6,6,"Stationary",10310,10460,1017540000,308990700,313486200
"006MO","India",6,8,"Stationary",6503,6653,1017540000,194894910,199390410
"006MO","India",6,8,"Stationary",13636,13786,1017540000,408670920,413166420
"006MO","India",6,9,"Stationary",10040,10190,1017540000,300898800,305394300
"006MO","India",6,12,"Moving",21638,21788,1017540000,648490860,652986360
"006MO","India",6,14,"Moving",869,1019,1017540000,26043930,30539430
"006MO","India",6,14,"Stationary",120,270,1017540000,3596400,8091900
"006MO","India",6,19,"Moving",13247,13397,1017540000,397012590,401508090
"017MA","India",17.5,3,"Moving",3866,4016,1017540000,115864020,120359520
"017MA","India",17.5,3,"Stationary",15824,15974,1017540000,474245280,478740780
"017MA","India",17.5,6,"Moving",22747,22897,1017540000,681727590,686223090
"017MA","India",17.5,6,"Stationary",25055,25205,1017540000,750898350,755393850
"017MA","India",17.5,6,"Stationary",50140,50290,1017540000,1502695800,1507191300
"017MA","India",17.5,8,"Stationary",11239,11389,1017540000,336832830,341328330
"017MA","India",17.5,14,"Stationary",16543,16693,1017540000,495793710,500289210
"017MA","India",17.5,15,"Stationary",5844,5994,1017540000,175144680,179640180
"017MA","India",17.5,19,"Stationary",29970,30120,1017540000,898200900,902696400
