"Participant.ID","Country","AgeMatchGroup","ChiSquare","DF","Pval","Speed","Motion.status","N.obs"
"006AP","U.S.",6,2311563048.9273,100,0,0,"Moving",339284550
"006AP","U.S.",6,2311563048.9273,100,0,0,"Stationary",405637124
"006AP","U.S.",6,2311563048.9273,100,0,1,"Moving",9559350
"006AP","U.S.",6,2311563048.9273,100,0,1,"Stationary",275088034
"006AP","U.S.",6,2311563048.9273,100,0,2,"Moving",19301100
"006AP","U.S.",6,2311563048.9273,100,0,2,"Stationary",336266775
"006AP","U.S.",6,2311563048.9273,100,0,3,"Moving",31789950
"006AP","U.S.",6,2311563048.9273,100,0,3,"Stationary",280387963
"006AP","U.S.",6,2311563048.9273,100,0,4,"Moving",35419650
"006AP","U.S.",6,2311563048.9273,100,0,4,"Stationary",198584720
"006AP","U.S.",6,2311563048.9273,100,0,5,"Moving",31917450
"006AP","U.S.",6,2311563048.9273,100,0,5,"Stationary",151145787
"006AP","U.S.",6,2311563048.9273,100,0,6,"Moving",27899250
"006AP","U.S.",6,2311563048.9273,100,0,6,"Stationary",114804760
"006AP","U.S.",6,2311563048.9273,100,0,7,"Moving",29099700
"006AP","U.S.",6,2311563048.9273,100,0,7,"Stationary",93922846
"006AP","U.S.",6,2311563048.9273,100,0,8,"Moving",30816300
"006AP","U.S.",6,2311563048.9273,100,0,8,"Stationary",97841783
"006AP","U.S.",6,2311563048.9273,100,0,9,"Moving",35618700
"006AP","U.S.",6,2311563048.9273,100,0,9,"Stationary",120496899
"006AP","U.S.",6,2311563048.9273,100,0,10,"Moving",39701850
"006AP","U.S.",6,2311563048.9273,100,0,10,"Stationary",137754095
"006AP","U.S.",6,2311563048.9273,100,0,11,"Moving",38292300
"006AP","U.S.",6,2311563048.9273,100,0,11,"Stationary",123518346
"006AP","U.S.",6,2311563048.9273,100,0,12,"Moving",36653700
"006AP","U.S.",6,2311563048.9273,100,0,12,"Stationary",111665146
"006AP","U.S.",6,2311563048.9273,100,0,13,"Moving",38977950
"006AP","U.S.",6,2311563048.9273,100,0,13,"Stationary",102686087
"006AP","U.S.",6,2311563048.9273,100,0,14,"Moving",42663900
"006AP","U.S.",6,2311563048.9273,100,0,14,"Stationary",95839836
"006AP","U.S.",6,2311563048.9273,100,0,15,"Moving",47291850
"006AP","U.S.",6,2311563048.9273,100,0,15,"Stationary",99247751
"006AP","U.S.",6,2311563048.9273,100,0,16,"Moving",51288150
"006AP","U.S.",6,2311563048.9273,100,0,16,"Stationary",98672089
"006AP","U.S.",6,2311563048.9273,100,0,17,"Moving",50943300
"006AP","U.S.",6,2311563048.9273,100,0,17,"Stationary",87409804
"006AP","U.S.",6,2311563048.9273,100,0,18,"Moving",48410250
